competition_name,season,team_short_name
Premier League,2026/2027,BOU
Premier League,2026/2027,ARS
Premier League,2026/2027,AVL
Premier League,2026/2027,BRE
Premier League,2026/2027,BHA
Premier League,2026/2027,CHE
Premier League,2026/2027,COV
Premier League,2026/2027,CRY
Premier League,2026/2027,EVE
Premier League,2026/2027,FUL
Premier League,2026/2027,HUL
Premier League,2026/2027,IPS
Premier League,2026/2027,LEE
Premier League,2026/2027,LIV
Premier League,2026/2027,MCI
Premier League,2026/2027,MUN
Premier League,2026/2027,NEW
Premier League,2026/2027,NFO
Premier League,2026/2027,SUN
Premier League,2026/2027,TOT
LaLiga,2026/2027,ATH
LaLiga,2026/2027,ATM
LaLiga,2026/2027,OSA
LaLiga,2026/2027,CEL
LaLiga,2026/2027,ALA
LaLiga,2026/2027,ELC
LaLiga,2026/2027,BAR
LaLiga,2026/2027,GET
LaLiga,2026/2027,LEV
LaLiga,2026/2027,MAL
LaLiga,2026/2027,RAC
LaLiga,2026/2027,RAY
LaLiga,2026/2027,DEP
LaLiga,2026/2027,ESP
LaLiga,2026/2027,BET
LaLiga,2026/2027,RMA
LaLiga,2026/2027,RSO
LaLiga,2026/2027,SEV
LaLiga,2026/2027,VAL
LaLiga,2026/2027,VIL
Serie A,2026/2027,MIL
Serie A,2026/2027,ATA
Serie A,2026/2027,BOL
Serie A,2026/2027,CAG
Serie A,2026/2027,COM
Serie A,2026/2027,FIO
Serie A,2026/2027,FRO
Serie A,2026/2027,GEN
Serie A,2026/2027,INT
Serie A,2026/2027,JUV
Serie A,2026/2027,LAZ
Serie A,2026/2027,LEC
Serie A,2026/2027,MON
Serie A,2026/2027,NAP
Serie A,2026/2027,PAR
Serie A,2026/2027,ROM
Serie A,2026/2027,SAS
Serie A,2026/2027,TOR
Serie A,2026/2027,UDI
Serie A,2026/2027,VEN
Bundesliga,2026/2027,AUG
Bundesliga,2026/2027,FCU
Bundesliga,2026/2027,BRE2
Bundesliga,2026/2027,BVB
Bundesliga,2026/2027,ELV
Bundesliga,2026/2027,SGE
Bundesliga,2026/2027,SCF
Bundesliga,2026/2027,HSV
Bundesliga,2026/2027,TSG
Bundesliga,2026/2027,KOE
Bundesliga,2026/2027,RBL
Bundesliga,2026/2027,B04
Bundesliga,2026/2027,M05
Bundesliga,2026/2027,BMG
Bundesliga,2026/2027,FCB
Bundesliga,2026/2027,SCP
Bundesliga,2026/2027,S04
Bundesliga,2026/2027,VFB
Ligue 1,2026/2027,ANG
Ligue 1,2026/2027,AUX
Ligue 1,2026/2027,BRE3
Ligue 1,2026/2027,HAC
Ligue 1,2026/2027,LEN
Ligue 1,2026/2027,LIL
Ligue 1,2026/2027,LOR
Ligue 1,2026/2027,LYO
Ligue 1,2026/2027,LEM
Ligue 1,2026/2027,OM
Ligue 1,2026/2027,ASM
Ligue 1,2026/2027,NIC
Ligue 1,2026/2027,PFC
Ligue 1,2026/2027,PSG
Ligue 1,2026/2027,REN
Ligue 1,2026/2027,STR
Ligue 1,2026/2027,TOU
Ligue 1,2026/2027,TRO
