first_name,last_name,birth_date,nationality,position,preferred_foot,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,salary,team_short_name
Jack,Grealish,1995-09-10,Unknown,CM,RIGHT,82,82,84,77,84,82,64,82,51000000,5950000,MCI
Gianluigi,Donnarumma,1999-02-25,Unknown,GK,RIGHT,83,83,35,20,68,25,20,78,54000000,6300000,MCI
Marcus,Bettinelli,1992-05-24,Unknown,GK,RIGHT,84,84,35,20,69,25,20,79,57000000,6650000,MCI
Nico,O'Reilly,2005-03-21,Unknown,CB,RIGHT,85,89,80,80,82,83,87,85,60000000,7000000,MCI
Marc,Guéhi,2000-07-13,Unknown,CB,RIGHT,86,86,81,81,83,84,88,86,63000000,7350000,MCI
Matheus,Nunes,1998-08-27,Unknown,CB,RIGHT,87,87,82,82,84,85,89,87,66000000,7700000,MCI
Rúben,dos Santos Gato Alves Dias,1997-05-14,Unknown,CB,RIGHT,88,88,83,83,85,86,90,88,69000000,8050000,MCI
Joško,Gvardiol,2002-01-23,Unknown,CB,RIGHT,82,83,77,77,79,80,84,82,51000000,5950000,MCI
Rayan,Aït-Nouri,2001-06-06,Unknown,CB,RIGHT,83,83,78,78,80,81,85,83,54000000,6300000,MCI
Abdukodir,Khusanov,2004-02-29,Unknown,CB,RIGHT,84,87,79,79,81,82,86,84,57000000,6650000,MCI
Max,Alleyne,2005-07-21,Unknown,CB,RIGHT,85,89,80,80,82,83,87,85,60000000,7000000,MCI
Rico,Lewis,2004-11-21,Unknown,CB,RIGHT,86,89,81,81,83,84,88,86,63000000,7350000,MCI
Vitor,de Oliveira Nunes dos Reis,2006-01-12,Unknown,CB,RIGHT,87,92,82,82,84,85,89,87,66000000,7700000,MCI
Antoine,Semenyo,2000-01-07,Unknown,CM,RIGHT,88,88,90,83,90,88,70,88,69000000,8050000,MCI
Phil,Foden,2000-05-28,Unknown,CM,RIGHT,82,82,84,77,84,82,64,82,51000000,5950000,MCI
Rayan,Cherki,2003-08-17,Unknown,CM,RIGHT,83,85,85,78,85,83,65,83,54000000,6300000,MCI
Jérémy,Doku,2002-05-27,Unknown,CM,RIGHT,84,85,86,79,86,84,66,84,57000000,6650000,MCI
Omar,Marmoush,1999-02-07,Unknown,ST,RIGHT,85,85,87,88,82,83,67,85,60000000,7000000,MCI
Rodrigo 'Rodri',Hernandez Cascante,1996-06-22,Unknown,CM,RIGHT,86,86,88,81,88,86,68,86,63000000,7350000,MCI
Sávio,Moreira de Oliveira,2004-04-10,Unknown,CM,RIGHT,87,90,89,82,89,87,69,87,66000000,7700000,MCI
Tijjani,Reijnders,1998-07-29,Unknown,CM,RIGHT,88,88,90,83,90,88,70,88,69000000,8050000,MCI
Nico,González Iglesias,2002-01-03,Unknown,CM,RIGHT,82,83,84,77,84,82,64,82,51000000,5950000,MCI
Mateo,Kovačić,1994-05-06,Unknown,CM,RIGHT,83,83,85,78,85,83,65,83,54000000,6300000,MCI
Claudio,Echeverri,2006-01-02,Unknown,CM,RIGHT,84,89,86,79,86,84,66,84,57000000,6650000,MCI
Kalvin,Phillips,1995-12-02,Unknown,CM,RIGHT,85,85,87,80,87,85,67,85,60000000,7000000,MCI
Divine,Mukasa,2007-08-22,Unknown,CM,RIGHT,86,92,88,81,88,86,68,86,63000000,7350000,MCI
Jeremy,Monga,2009-07-10,Unknown,CM,RIGHT,87,95,89,82,89,87,69,87,66000000,7700000,MCI
Erling,Haaland,2000-07-21,Unknown,ST,RIGHT,88,88,90,91,85,86,70,88,69000000,8050000,MCI
Elliot,Anderson,2002-11-06,Unknown,CM,RIGHT,82,83,84,77,84,82,64,82,51000000,5950000,MCI
Gerónimo,Rulli,1992-05-20,Unknown,GK,RIGHT,83,83,35,20,68,25,20,78,54000000,6300000,MCI
David,Raya Martín,1995-09-15,Unknown,GK,RIGHT,77,77,35,20,62,25,20,72,36000000,4200000,ARS
Kepa,Arrizabalaga Revuelta,1994-10-03,Unknown,GK,RIGHT,78,78,35,20,63,25,20,73,39000000,4550000,ARS
Illan,Meslier,2000-03-02,Unknown,GK,RIGHT,79,79,35,20,64,25,20,74,42000000,4900000,ARS
Gabriel,dos Santos Magalhães,1997-12-19,Unknown,CB,RIGHT,80,80,75,75,77,78,82,80,45000000,5250000,ARS
Jurriën,Timber,2001-06-17,Unknown,CB,RIGHT,81,81,76,76,78,79,83,81,48000000,5600000,ARS
William,Saliba,2001-03-24,Unknown,CB,RIGHT,82,82,77,77,79,80,84,82,51000000,5950000,ARS
Myles,Lewis-Skelly,2006-09-26,Unknown,CM,RIGHT,83,88,85,78,85,83,65,83,54000000,6300000,ARS
Riccardo,Calafiori,2002-05-19,Unknown,CB,RIGHT,77,78,72,72,74,75,79,77,36000000,4200000,ARS
Piero,Hincapié,2002-01-09,Unknown,CB,RIGHT,78,79,73,73,75,76,80,78,39000000,4550000,ARS
Benjamin,White,1997-10-08,Unknown,CB,RIGHT,79,79,74,74,76,77,81,79,42000000,4900000,ARS
Cristhian,Mosquera,2004-06-27,Unknown,CB,RIGHT,80,83,75,75,77,78,82,80,45000000,5250000,ARS
Bukayo,Saka,2001-09-05,Unknown,CM,RIGHT,81,81,83,76,83,81,63,81,48000000,5600000,ARS
Declan,Rice,1999-01-14,Unknown,CM,RIGHT,82,82,84,77,84,82,64,82,51000000,5950000,ARS
Eberechi,Eze,1998-06-29,Unknown,CM,RIGHT,83,83,85,78,85,83,65,83,54000000,6300000,ARS
Martin,Ødegaard,1998-12-17,Unknown,CM,RIGHT,77,77,79,72,79,77,59,77,36000000,4200000,ARS
