first_name,last_name,birth_date,nationality,position,preferred_foot,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,salary,team_short_name
Zachary,Athekame,2004-07-01,SUI,CB,RIGHT,73,75,70,67,70,73,75,73,22400000,2560000,MIL
Davide,Bartesaghi,2005-07-01,ITA,CB,RIGHT,74,77,71,68,71,74,76,74,25200000,2880000,MIL
Samuel,Chukwueze,1999-07-01,NGA,CM,RIGHT,75,75,77,69,77,75,57,75,28000000,3200000,MIL
Koni,De Winter,2002-07-01,BEL,CB,RIGHT,76,76,73,70,73,76,78,76,30800000,3520000,MIL
Pervis,Estupiñán,1998-07-01,ECU,CM,RIGHT,77,77,79,71,79,77,59,77,33600000,3840000,MIL
Youssouf,Fofana,1999-07-01,FRA,CM,RIGHT,78,78,80,72,80,78,60,78,36400000,4160000,MIL
Niclas,Füllkrug,1993-07-01,GER,ST,RIGHT,79,79,81,82,76,79,61,79,39200000,4480000,MIL
Matteo,Gabbia,1999-07-01,ITA,CB,RIGHT,80,80,77,74,77,80,82,80,42000000,4800000,MIL
Santiago,Giménez,2001-07-01,MEX,ST,RIGHT,73,73,75,76,70,73,55,73,22400000,2560000,MIL
Ardon,Jashari,2002-07-01,SUI,CM,RIGHT,74,74,76,68,76,74,56,74,25200000,2880000,MIL
Álex,Jiménez,2005-07-01,ESP,CB,RIGHT,75,78,72,69,72,75,77,75,28000000,3200000,MIL
Rafael,Leão,1999-07-01,POR,ST,RIGHT,76,76,78,79,73,76,58,76,30800000,3520000,MIL
Ruben,Loftus-Cheek,1996-07-01,ENG,CM,RIGHT,77,77,79,71,79,77,59,77,33600000,3840000,MIL
Mike,Maignan,1995-07-01,FRA,GK,RIGHT,78,78,35,20,63,25,20,78,36400000,4160000,MIL
Luka,Modrić,1985-07-01,CRO,CM,RIGHT,79,79,81,73,81,79,61,79,39200000,4480000,MIL
Yunus,Musah,2002-07-01,USA,CM,RIGHT,80,80,82,74,82,80,62,80,42000000,4800000,MIL
Cheveyo,Muy,2006-07-01,NED,ST,RIGHT,73,77,75,76,70,73,55,73,22400000,2560000,MIL
Christopher,Nkunku,1997-07-01,FRA,ST,RIGHT,74,74,76,77,71,74,56,74,25200000,2880000,MIL
David,Odogu,2006-07-01,GER,CB,RIGHT,75,79,72,69,72,75,77,75,28000000,3200000,MIL
Strahinja,Pavlović,2001-07-01,SRB,CB,RIGHT,76,76,73,70,73,76,78,76,30800000,3520000,MIL
Christian,Pulisic,1998-07-01,USA,ST,RIGHT,77,77,79,80,74,77,59,77,33600000,3840000,MIL
Adrien,Rabiot,1995-07-01,FRA,CM,RIGHT,78,78,80,72,80,78,60,78,36400000,4160000,MIL
Samuele,Ricci,2001-07-01,ITA,CM,RIGHT,79,79,81,73,81,79,61,79,39200000,4480000,MIL
Alexis,Saelemaekers,1999-07-01,BEL,CM,RIGHT,80,80,82,74,82,80,62,80,42000000,4800000,MIL
