short_name,resource,source
BOU,assets/crests/BOU_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/349.png
ARS,assets/crests/ARS_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/359.png
AVL,assets/crests/AVL_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/362.png
BRE,assets/crests/BRE_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/337.png
BHA,assets/crests/BHA_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/331.png
CHE,assets/crests/CHE_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
CRY,assets/crests/CRY_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/384.png
EVE,assets/crests/EVE_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/368.png
FUL,assets/crests/FUL_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/370.png
LEE,assets/crests/LEE_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/357.png
LIV,assets/crests/LIV_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/364.png
MCI,assets/crests/MCI_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
MUN,assets/crests/MUN_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
NEW,assets/crests/NEW_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/361.png
NFO,assets/crests/NFO_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/393.png
SUN,assets/crests/SUN_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/366.png
TOT,assets/crests/TOT_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/367.png
ATH,assets/crests/ATH_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/93.png
ATM,assets/crests/ATM_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/1068.png
OSA,assets/crests/OSA_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/97.png
CEL,assets/crests/CEL_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/85.png
ALA,assets/crests/ALA_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/96.png
ELC,assets/crests/ELC_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/3751.png
BAR,assets/crests/BAR_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/83.png
GET,assets/crests/GET_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/2922.png
LEV,assets/crests/LEV_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/1538.png
RAY,assets/crests/RAY_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/101.png
ESP,assets/crests/ESP_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/88.png
BET,assets/crests/BET_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/244.png
RMA,assets/crests/RMA_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/86.png
RSO,assets/crests/RSO_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/89.png
SEV,assets/crests/SEV_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/243.png
VAL,assets/crests/VAL_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/94.png
VIL,assets/crests/VIL_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/102.png
MIL,assets/crests/MIL_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/103.png
ATA,assets/crests/ATA_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/105.png
BOL,assets/crests/BOL_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/107.png
CAG,assets/crests/CAG_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/2925.png
COM,assets/crests/COM_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/2572.png
FIO,assets/crests/FIO_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/109.png
GEN,assets/crests/GEN_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/3263.png
INT,assets/crests/INT_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/110.png
JUV,assets/crests/JUV_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/111.png
LAZ,assets/crests/LAZ_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/112.png
LEC,assets/crests/LEC_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/113.png
NAP,assets/crests/NAP_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/114.png
PAR,assets/crests/PAR_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/115.png
ROM,assets/crests/ROM_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/104.png
SAS,assets/crests/SAS_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/3997.png
TOR,assets/crests/TOR_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/239.png
UDI,assets/crests/UDI_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/118.png
AUG,assets/crests/AUG_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/3841.png
FCU,assets/crests/FCU_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/598.png
BRE2,assets/crests/BRE2_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/137.png
BVB,assets/crests/BVB_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/124.png
SGE,assets/crests/SGE_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/125.png
SCF,assets/crests/SCF_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/126.png
HSV,assets/crests/HSV_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/127.png
TSG,assets/crests/TSG_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/7911.png
KOE,assets/crests/KOE_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/122.png
RBL,assets/crests/RBL_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/11420.png
B04,assets/crests/B04_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/131.png
M05,assets/crests/M05_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/2950.png
BMG,assets/crests/BMG_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/268.png
FCB,assets/crests/FCB_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/132.png
VFB,assets/crests/VFB_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/134.png
ANG,assets/crests/ANG_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/7868.png
AUX,assets/crests/AUX_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/172.png
BRE3,assets/crests/BRE3_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/6997.png
HAC,assets/crests/HAC_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/3236.png
LEN,assets/crests/LEN_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/175.png
LIL,assets/crests/LIL_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/166.png
LOR,assets/crests/LOR_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/273.png
LYO,assets/crests/LYO_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/167.png
OM,assets/crests/OM_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/176.png
ASM,assets/crests/ASM_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/174.png
NIC,assets/crests/NIC_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png
PFC,assets/crests/PFC_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/6851.png
PSG,assets/crests/PSG_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/160.png
REN,assets/crests/REN_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/169.png
STR,assets/crests/STR_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/180.png
TOU,assets/crests/TOU_128.png,https://a.espncdn.com/i/teamlogos/soccer/500/179.png
COV,assets/crests/COV_128.png,https://r2.thesportsdb.com/images/media/team/badge/uxyqys1424033798.png
HUL,assets/crests/HUL_128.png,https://r2.thesportsdb.com/images/media/team/badge/fbqqda1601726113.png
IPS,assets/crests/IPS_128.png,https://r2.thesportsdb.com/images/media/team/badge/mdj1ey1634670785.png
MAL,assets/crests/MAL_128.png,https://r2.thesportsdb.com/images/media/team/badge/upqyvr1473502952.png
RAC,assets/crests/RAC_128.png,https://r2.thesportsdb.com/images/media/team/badge/97kkiq1536575158.png
FRO,assets/crests/FRO_128.png,https://r2.thesportsdb.com/images/media/team/badge/a7xa151603170120.png
MON,assets/crests/MON_128.png,https://r2.thesportsdb.com/images/media/team/badge/bxearg1603170113.png
VEN,assets/crests/VEN_128.png,https://r2.thesportsdb.com/images/media/team/badge/vbiget1781026964.png
ELV,assets/crests/ELV_128.png,https://r2.thesportsdb.com/images/media/team/badge/z079go1677573926.png
SCP,assets/crests/SCP_128.png,https://r2.thesportsdb.com/images/media/team/badge/kddvva1566048058.png
S04,assets/crests/S04_128.png,https://r2.thesportsdb.com/images/media/team/badge/hnci291621593978.png
LEM,assets/crests/LEM_128.png,https://r2.thesportsdb.com/images/media/team/badge/wjhziv1700145026.png
TRO,assets/crests/TRO_128.png,https://r2.thesportsdb.com/images/media/team/badge/sl5kzg1766617559.png
