name,short_name,country,stadium_name,stadium_capacity,reputation
Real Madrid,RMA,Spain,Santiago Bernabeu,83186,95
Barcelona,BAR,Spain,Spotify Camp Nou,99354,94
Atletico de Madrid,ATM,Spain,Metropolitano,70460,90
Valencia CF,VCF,Spain,Mestalla,49430,80
Manchester City,MCI,England,Etihad Stadium,53400,94
Liverpool,LIV,England,Anfield,61276,92
Arsenal,ARS,England,Emirates Stadium,60704,89
Manchester United,MUN,England,Old Trafford,74879,88
Inter,INT,Italy,San Siro,80018,89
Juventus,JUV,Italy,Allianz Stadium,41507,88
AC Milan,MIL,Italy,San Siro,80018,87
Bayern Munich,BAY,Germany,Allianz Arena,75024,94
Borussia Dortmund,BVB,Germany,SIGNAL IDUNA PARK,81365,87
Paris Saint-Germain,PSG,France,Parc des Princes,47929,92
Olympique Marseille,OM,France,Stade Velodrome,67394,82
